ID,StreetNum,StrName,Area,Rooms,FullBath,HalfBath,Floors,Zip,SoldPrice,ListPrice,MT,BedRoomsBsmt,BedRooms,GarageSpaces,ClosedDate,GarageType,BsmtBath,AbvGrdSF,BsmntSF,Style,LotDims,LotSize
1042,1372,Foster,33,7,2,0,1.5,6000,232500,249900,133,0,3,1,1/24/2019,Detached,Yes,1671,,Bi-Level,7920 SQ FT,7920
1043,1373,School,33,8,2,0,2,6000,242000,249000,151,1,3,2,1/25/2019,Detached,Yes,0,,Bungalow,50X179,8950
1044,1374,HOFFMAN,33,9,2,1,2,6000,490000,529000,128,0,4,2.1,1/26/2019,Attached,No,0,,Colonial,66 X 121,7986
1045,1375,Arcadia,33,7,2,1,1.5,6000,295000,320000,135,1,3,2,1/27/2019,Detached,Yes,0,,Other,7504,7504
1046,1376,School,33,10,3,0,2,6000,536000,562900,460,1,4,2,1/28/2019,Attached,No,0,,Contemporary,45 X177,7965
1047,1377,Madison,33,8,3,0,1,6000,365000,379000,34,0,3,2.5,1/29/2019,Detached,Yes,0,,Ranch,50X132,6600
1048,1558,Indian Wells,51,12,4,1,2,6000,1000000,1100000,851,0,5,3,1/30/2019,Attached,No,,,Other,145.78X130.50X132.71X151.96X61.46,19024.29
1049,1559,Woodview,51,10,2,1,2,6000,1430744,1158400,2,0,3,2,1/31/2019,Attached,No,0,,Other,65.25X92.22X74.12X89.93,6017.355
1050,1560,Woodview,51,10,2,1,2,6000,1584743,1170400,7,0,3,2,2/1/2019,Attached,No,0,,Other,115X96.46X59.27X94.39,11092.9
1051,1561,2nd,51,7,1,1,1,6000,317000,349999,358,0,3,2,2/2/2019,Detached,No,0,,Ranch,100 X 297,29700
1052,1562,Church,51,6,1,0,1.5,6000,240000,274900,413,0,3,1,2/3/2019,Detached,No,0,,Other,57X138,7866
1053,1563,Timbers Edge,51,7,2,1,1,6000,906660,749900,2,0,3,2,2/4/2019,Attached,No,0,,Other,50X80,4000
1054,1564,Timbers Edge,51,8,2,1,2,6000,916586,829900,291,0,3,2,2/5/2019,Attached,No,0,,Other,50X80,4000
1055,1565,Sorrel,51,13,4,1,2,6000,1030000,1124900,280,1,4,3,2/6/2019,Attached,Yes,0,,Colonial,65X165,10725
1056,1566,Penfold,51,12,4,1,2,6000,1195900,1229900,54,1,4,3,2/7/2019,Attached,Yes,0,,Colonial,77 X 130 X 77 X 130,10010
1057,1567,The Court Of Hidden Bay,51,6,2,0,1,6000,358000,365000,120,0,3,2,2/8/2019,Attached,No,0,,Ranch,49X101,4949
1058,1568,WALTERS,51,9,2,1,2,6000,475000,499000,697,0,4,3,2/9/2019,Detached,No,0,,Farmhouse,55 X 170,9350
1059,1569,Kingsport,51,12,3,1,2,6000,739000,729000,200,0,4,2,2/10/2019,Attached,Yes,0,,Georgian,105X136,14280
1060,1570,Birch,51,7,2,1,2,6000,415000,499000,92,0,3,2,2/11/2019,Attached,No,0,,Other,173X116X220X68,20068
1061,1571,Techny,51,8,3,1,2,6000,599000,645000,282,0,4,3,2/12/2019,Attached,No,0,,Other,10075,10075
1062,1572,Killarney,51,8,2,1,1,6000,410000,425000,548,1,2,1,2/13/2019,Attached,Yes,0,,Ranch,50X128X130X146,6400
1063,1573,Charlemagne,51,10,2,1,2,6000,605000,629900,94,0,4,2,2/14/2019,Attached,No,0,,Colonial,90X135X110X65,12150
1064,1574,Royal Ridge,51,8,2,1,2,6000,825000,850000,124,0,3,2,2/15/2019,Attached,No,0,,Other,"4,216 SQ'",4216
1065,1575,Basswood,51,7,3,0,1.5,6000,540000,549900,24,0,2,2,2/16/2019,Attached,Yes,0,,Ranch,50 X 94 X 69 X 87,4700
1066,1576,Antique,51,9,2,1,2,6000,515000,545000,152,0,4,2,2/17/2019,Attached,No,0,,Colonial,85 X 139,11815
1067,1577,Lindenwood,51,6,2,0,1,6000,375000,395000,81,0,2,2,2/18/2019,Attached,No,0,,Ranch,68X86,5848
1068,1578,Grace,51,8,2,1,2,6000,485000,509000,148,0,4,2,2/19/2019,Attached,No,0,,Colonial,100 X 131 X 100 X 132,13100
1069,1579,Central,51,10,4,1,2,6000,575000,599900,181,0,5,2.5,2/20/2019,Attached,No,0,,Colonial,80 X 124 X 80 X 124,9920
1070,1580,Russett,51,8,2,1,2,6000,600000,625000,142,0,4,3,2/21/2019,Attached,No,0,,Colonial,85X129,10965
1071,1581,Windy Hill,51,12,5,1,2,6000,1112500,1199000,54,1,5,3,2/22/2019,Attached,Yes,0,,Other,100X149X102X125,14900
1072,1622,Floral,55,6,2,1,2,6000,697035,549000,146,0,3,2,2/23/2019,Attached,No,0,1000,Other,28X85,2380
1073,1623,Floral,55,6,2,1,2,6000,663844,589000,1,0,3,2,2/24/2019,Attached,No,0,,Other,28X85,2380
1074,1624,Floral,55,7,2,1,2,6000,656800,599000,1,0,3,2,2/25/2019,Attached,No,0,,Other,28X85,2380
1075,1625,DRAKE,55,9,3,0,1,6000,316000,319900,45,2,3,0,2/26/2019,None,Yes,0,,Other,40X160,6400
1076,1626,Harding,55,13,4,1,2,6000,645000,699900,177,2,5,3,2/27/2019,Attached,Yes,0,,Other,75 X 123,9225
1077,1627,Floral,55,8,2,1,2,6000,665000,695000,213,0,3,2,2/28/2019,Attached,No,0,,Contemporary,28.52X85,2424.2
1078,1628,Greenwood,55,10,2,1,1.5,6000,330000,339900,125,2,3,2,3/1/2019,Detached,Yes,0,,Other,59X125,7375
1079,1629,Golf,55,9,3,0,1,6000,255000,259900,173,0,4,2,3/2/2019,Detached,Yes,0,,Bungalow,45X125,5625
1080,1630,Kedvale,55,7,1,1,1,6000,302000,309000,126,0,3,0,3/3/2019,None,No,,,Ranch,60X131,7860
1081,1741,Forest,66,10,3,1,3,6000,833300,875000,125,0,6,2,3/4/2019,Detached,No,0,,Victorian,50X140,7000
1082,1742,Chestnut,66,10,2,1,2,6000,1010000,1084500,61,0,4,2.5,3/5/2019,Detached,Yes,0,,Colonial,75 X 181,13575
1083,1743,Greenleaf,66,13,4,1,2,6000,950000,989999,142,1,4,2,3/6/2019,Attached,Yes,4075,1735,Other,"7,476","7,476"
1084,1744,Lamon,66,11,4,1,3,6000,662500,699000,490,0,6,2,3/7/2019,Attached,No,0,,Other,60X132,7920
1085,1745,Laurel,66,8,2,1,2,6000,550000,549000,168,0,3,2,3/8/2019,Attached,No,0,,Colonial,50X224,11200
1086,1746,ASHLAND,66,12,4,1,3,6000,1572500,1595000,102,0,5,2,3/9/2019,Detached,Yes,0,,Traditional,60X176,10560
1087,1747,Sprucewood,66,9,3,0,2,6000,550000,588000,130,0,4,2,3/10/2019,Attached,No,0,,Contemporary,71 X 177,12567
